2.24558e-307	2.12421e-314	2.22571e-307	6.91692e-323	
0.1	0.1	0.1	0	
19851.8	5.27891e-308	2.28548e-307	1.13254e-317	
813129	1.82376e-307	2.28548e-307	0	
3.17668e+007	6.36821e-314	2.28548e-307	2.28548e-307	
-3.4569e+295	8.4902e-314	2.28214e-307	1.06111e-313	
-1.38259e+297	2.28196e-307	2.28214e-307	2.1242e-314	
-5.39485e+298	-1.#QNAN	2.28214e-307	1.83115e-307	
-1.#QNAN	2.24558e-307	-1.#QNAN	2.2176e-307	
-1.#QNAN	1.85762e-307	2.28214e-307	1.83805e-307	
-1.#QNAN	2.21513e-307	2.28214e-307	1.13251e-317	
